,"Prey \ predator",2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
1,"Phytoplankton- Primary Producers",0.24,0.2158731,0.724375,0.546493,0.08735567,0.1620345,0.02834438,0.1280484,0.211738,0.4320447,0.214739,0.69,0,0.0616486,0.06240189,0.01125301,0.1576147,0,0.01168657,0,0,0,0,0,0,0,0,0,
2,Bacteria,0,0.1603949,0,0,0.02031527,0,0.01651903,0.3082643,0.1870353,0.199493,0.2305922,0.08,0.1756945,0.365325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Microzooplankton,0,0.1200283,0.08,0.04386522,0.05078818,0,0.07229245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"Small copepods",0,0,0.065,0.1744342,0.335202,0.3078,0.3399421,0,0.01940933,0,0,0,0,0,0.4560136,0.150381,0.1154503,0,0.05602373,0,0,0,0,0,0,0.05934792,0,0,
5,"Large Copepods",0,0,0,0.122367,0.3656749,0.3254904,0.524371,0,0.03705416,0,0,0,0,0,0.2640078,0.4357983,0.5732358,0.1287374,0.8996479,0,0,0,0,0.03087554,0,0.472737,0,0.03353073,
6,"Gelatinous Zooplankton",0,0,0,0.05314463,0.02133102,0,0,0,0,0,0,0,0,0,0,0.08184004,0.1023994,0,0,0.001076069,0.005423705,0.005505583,0.02649986,0.01029184,0.1027131,0.001023241,0.003232561,0,
7,Micronekton,0,0,0,0,0,0.0412193,0.01417219,0,0,0,0,0,0,0.1232972,0.07200216,0.1647031,0.04216445,0.4564327,0.0201859,0,0.001084741,0.02752791,0.001324993,0,0,0.2957164,0.02693801,0.137476,
8,Mesopelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003228208,0,0,0.006624964,0.007092307,0,0,0,0,
9,"Macrobenthos- polychaetes",0,0,0,0,0,0,0,0.01537166,0.0146438,0,0.01721644,0,0.07750852,0,0.01029636,0.008923769,0,0,0.0004909938,0,0.1106436,0.132134,0.01324993,0,0,0,0,0,
10,"Macrobenthos- crustaceans",0,0,0,0.0001920297,0,0,0,0.0009841148,0.008099853,0,0.02540277,0,0.09809608,0.008915852,0.006934834,0.02471912,0.0006862119,0.09947892,0.002058,0.01291283,0.1301689,0.06606698,0.01324993,0.01029184,0,0.05934792,0,0,
11,"Macrobenthos- molluscs",0,0,0,0,0,0,0,0.0005791485,0.008473016,0.00431191,0.01638228,0,0.03217239,0,0.005027722,0.008923769,0.0004803413,0,0,0,0.1106436,0.06606698,0.01987489,0,0,0.006061077,0,0,
12,"Macrobenthos- other",0,0,0,0.0001024001,0,0,0,0.003538669,0.02632092,0.003496927,0.05718434,0,0.2942882,0.01259205,0.005483558,0.01125301,0.0002401,0.0175551,0,0.01076069,0.1334231,0.06606698,0.1179244,0.01029184,0,0.02353453,0,0,
13,"Megabenthos- filterers",0,0,0,0,0,0,0,0.003556902,0.01798261,0.01253956,0.005743415,0,0.04831597,0,0,0,0,0,0,0.003228208,0.1041351,0.07157258,0.2464487,0,0,0,0,0,
14,"Megabenthos- other",0,0,0,0,0,0,0,0.0001930495,0.0002885811,0.0004261312,0.003235146,0,0.04462622,0,0,0,0,0,0,0.01829317,0.1334231,0.2862903,0.0185499,0,0,0.003535628,0,0,
15,"Shrimp et al.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005439817,0,0,0,0.01111707,0,0.001034979,0.006120005,0.01024836,0.01158012,0,0,0,0,0.01032847,
16,"Larval-juv fish- all",0,0,0,0,0.01015752,0,0,0,0,0,0,0,0,0,0.05542988,0.0962584,0.007027408,0.1755511,0.008499324,0.002152139,0,0.0132134,0.01324993,0,0,0,0,0,
17,"Small Pelagics- commercial",0,0,0,0,0.005387099,0,0,0,0,0,0,0,0,0,0,0,0,0.01638476,0,0.5756971,0.1095589,0.132134,0.321799,0.2161287,0.1348483,0.05934792,0.3792872,0.3051296,
18,"Small Pelagics- other",0,0,0,0,0.001710584,0,0,0,0,0,0,0,0,0,0,0,0,0.0175551,0,0.04411884,0.001084741,0.002202233,0.03179983,0.08233476,0.7408296,0.00369279,0.2047287,0.2626574,
19,"Small Pelagics- squid",0,0,0,0,0.0004253181,0,0,0,0,0,0,0,0,0,0,0,0,0.07708509,0,0.1140633,0.009664804,0.02159372,0.01457492,0.1646695,0.021609,0.002751722,0.2736902,0.06817914,
20,"Small Pelagics- anadromous",0,0,0,0,1.600426E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0001027427,0,0.01034978,0,0,0.009064165,0.00100325,0,0.000125,0.002063341,0.001008566,
21,"Medium Pelagics- (piscivores & other)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01076766,0,0,0.001324712,0.1235021,0,0,0.0003151181,0.0005441445,
22,"Demersals- benthivores",0,0,0,0,0,0,0,0,0.0008532417,0,0.0008527371,0,0.003204378,0,0,0.0009064882,0,0,0,0.09792228,0.07562276,0.04844913,0.0384248,0.05145923,0,0,0,0,
23,"Demersals- omnivores",0,0,0,0,0,0,0,0,0.0005128408,0,0.0004234823,0,0.001828124,0,0,0.0009064882,0,0,0,0.0139889,0.02911571,0.004404466,0.006624964,0.08233476,0,0,0.06788377,0.04135456,
