,,Literature,Literature,
TAXA NAME,TAXA CODES IN DATABASE,Mean Size (mm),Dry Weight (g),
CALANUS_FINMARCHICUS,101,2.7,0.0002 or 0.0006,Stage C5 - Davis et al. 2012
METRIDIA_LUCENS,105,2.27,,
CENTROPAGES_TYPICUS,103,1.55,,
CENTROPAGES_HAMATUS,109,1.3,,
PSEUDOCALANUS_SPP,102 and 4128,1.2,,
TEMORA_LONGICORNIS,104,1,,
CLAUSOCALANUS_ARCUICORNIS,157,1,,
PARACALANUS_PARVUS,135,0.7,,
OITHONA_SPP,4118,0.7,,
