SVSPP,ITISSPP,NESPP3,COMNAME,SCINAME,MANAGE,EBFM.PDT,EMAX,Fall.q,Spring.q,RPATH,Feeding.guild
NA,168688,3,AMBERJACK,SERIOLA,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,170424,18,BARRACUDA,SPHYRAENIDAE,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,615855,25,BIG ROUGHY,GEPHYROBERYX DARWINI,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,163996,45,BULLHEADS,ICTALURUS,NA,Other,NA,NA,NA,Freshwater,Other
NA,172568,52,"BUTTERFISH,GULF",PEPRILUS BURTI,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,163344,63,CARP,CYPRINUS CARPIO,NA,Other,NA,NA,NA,Freshwater,Other
NA,164029,64,"CATFISH,FLATHEAD",PYLODICTIS OLIVARIS,NA,Other,NA,NA,NA,Freshwater,Other
NA,164037,65,"CATFISH,WHITE",ICTALURIDAE ,NA,Other,NA,NA,NA,Freshwater,Other
NA,163995,66,CATFISHES (FRESHWATER),ICTALURIDAE ,NA,Other,NA,NA,NA,Freshwater,Other
NA,163997,67,"CATFISH,BLUE",ICTALURUS FURCATUS,NA,Other,NA,NA,NA,Freshwater,Other
NA,163998,68,"CATFISH,CHANNEL",ICTALURUS PUNCTATUS ,NA,Other,NA,NA,NA,Freshwater,Other
NA,163992,69,CATFISHES (SEA),ARIIDAE  ,NA,Other,NA,NA,NA,Freshwater,Other
NA,168165,84,CRAPPIE,POMOXIS,NA,Other,NA,NA,NA,Freshwater,Other
NA,166339,98,RIBBONFISHES,TRACHIPTERIDAE,NA,Other,NA,NA,NA,Mesopelagics,Other
NA,169364,104,"DRUM,FRESHWATER",APLODINOTUS,NA,Other,NA,NA,NA,Freshwater,Other
NA,168790,105,DOLPHINFISH,CORYPHAENA,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,635305,118,"EEL,CUTTHROAT",SYNAPHOBRANCHINAE,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,161092,133,GARFISHES,LEPISOSTEIDAE,NA,Other,NA,NA,NA,Freshwater,Other
NA,167740,141,"GROUPER,CONEY",CEPHALOPHOLIS FULVA,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,613026,144,"GRUNT,WHITE",HAEMULON PLUMIERI,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,159753,150,HAGFISH,MYXINIDAE,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,553172,164,HALFBEAKS,HEMIRAMPHIDAE,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,172564,165,HARVESTFISHES,PEPRILUS ,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,161701,170,"HERRING,RIVER",ALOSA,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,162057,171,HERRING SMELT,ARGENTINIDAE,NA,Other,NA,NA,NA,SmallPelagics,Other
NA,166271,189,"DORY,NK",ZEIFORMES,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,169273,197,KING WHITING,MENTICIRRHUS,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,171671,206,LAUNCES,AMMODYTES,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,168615,214,"JACK,BAR",CARANGOIDES RUBER,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,172413,215,"MACKEREL,CHUB",SCOMBER COLIAS,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,172486,218,"MARLIN,UNC",ISTIOPHORIDAE,NA,Other,NA,NA,NA,HMS,Other
