SVSPP,ITISSPP,NESPP3,COMNAME,SCINAME,MANAGE,EBFM.PDT,EMAX,Fall.q,Spring.q,RPATH,Feeding.guild
NA,163342,223,MINNOWS,CYPRINIDAE ,NA,Other,NA,NA,NA,Freshwater,Other
NA,170333,234,MULLETS,MUGILIDAE,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,169406,236,"MULLET,RED (GOATFISH)",MULLIDAE,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,166781,243,"REDFISH,GOLDEN",SEBASTES NORVEGICUS,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,166326,249,OPAH,LAMPRIS GUTTATUS,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,170287,271,POMFRETS,BRAMIDAE,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,160946,286,STINGRAYS,DASYATIDAE ,NA,Other,NA,NA,NA,Rays,Other
NA,564407,287,"RAY,SICKLEFIN (CHILEAN) DEVIL",MOBULA TARAPACANA,NA,Other,NA,NA,NA,Rays,Other
NA,160998,288,"RAY,SPINETAIL DEVIL",MOBULA JAPANICA,NA,Other,NA,NA,NA,Rays,Other
NA,161975,306,"SALMON,PACIFIC,PINK",ONCORHYNCHUS GORBUSCHA,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,161977,307,"SALMON,COHO,AQUACULTURE",ONCORHYNCHUS KISUTCH,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,161980,308,"SALMON,KING,AQUACULTURE",ONCORHYNCHUS TSHAWYTSCHA,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,161974,309,"SALMON,UNCLASSIFIED",ONCORHYNCHUS,NA,Other,NA,NA,NA,OtherPelagics,Other
NA,169207,330,"PORGY,RED",PAGRUS PAGRUS,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,167686,333,"SEA BASS,NK",CENTROPRISTIS,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,169238,334,"SEA TROUT,UNC",CYNOSCION SPP,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,168847,336,"SNAPPER,CUBERA",LUTJANUS CYANOPTERUS,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,166973,341,"SEAROBINS,NORTH AMERICAN",PRIONOTUW,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,159923,357,"SHARK,MAKO UNC",ISURUS,NA,Other,NA,NA,NA,Sharks,Other
NA,159785,359,"SHARK,UNC",CHONDRICHTHYES,NA,Other,NA,NA,NA,Sharks,Other
NA,159915,360,"SHARK,THRESHER UNC",ALOPIAS,NA,Other,NA,NA,NA,Sharks,Other
NA,630579,363,SILVERSIDES,ATHERINOPSIDAE,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,160845,365,SKATES,RAJIDAE,NA,Other,NA,NA,NA,OtherSkates,Other
NA,162028,371,SMELTS,OSMERIDAE,NA,Other,NA,NA,NA,SmallPelagics,Other
NA,564037,373,"SKATES,LITTLE/WINTER MIXED",LEUCORAJA,NA,Other,NA,NA,NA,OtherSkates,Other
NA,564207,378,"SKATE,SHORTTAIL",AMBLYRAJA JENSENI,NA,Other,NA,NA,NA,OtherSkates,Other
NA,169537,381,SPADEFISH,EPHIPPIDAE,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,166680,392,"SNAKEHEAD,NORTHERN  ",CHANNA ARGUS,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,646756,400,"SPEARFISH,ROUNDSCALE",TETRAPTURUS GEORGII,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,172498,401,SPEARFISHES,TETRAPTURUS,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,553269,420,"STURGEON,ATLANTIC",ACIPENSER OXYRINCHUS,NA,Other,NA,NA,NA,Sturgeon,Other
NA,161064,421,"STURGEONS,UNC",ACIPENSERIDAE,NA,Other,NA,NA,NA,Sturgeon,Other
NA,163892,423,SUCKERS,CATOSTOMIDAE,NA,Other,NA,NA,NA,Freshwater,Other
NA,168093,426,SUNFISHES,CENTRARCHIDAE,NA,Other,NA,NA,NA,Freshwater,Other
NA,173289,430,"PUFFERS,(SEA CHICKEN)",SPHOEROIDES,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,168537,447,"TILEFISH,UNC",MALACANTHIDAE,NA,Other,NA,NA,NA,Tilefish,Other
NA,164412,451,TOADFISHES,BATRACHOIDIDAE,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,172418,465,"TUNA,UNC",THUNNUS,NA,Other,NA,NA,NA,HMS,Other
NA,160611,475,"SHARK,GREENLAND",SOMNIOSUS MICROCEPHALUS,NA,Other,NA,NA,NA,Sharks,Other
NA,160497,495,"SHARK,HAMMERHEAD",SPHYRNIDAE,NA,Other,NA,NA,NA,Sharks,Other
NA,160267,497,"SHARK,CARCHARHIN,NK",CARCHARHINUS,NA,Other,NA,NA,NA,Sharks,Other
NA,159851,498,"SHARK,PELAGIC,NK",LAMINIFORMES,NA,Other,NA,NA,NA,Sharks,Other
NA,159786,501,"SHARK,SMALL COASTAL SPECIES",CHONDIRCHTHYES,NA,Other,NA,NA,NA,Sharks,Other
NA,160206,504,"SHARK,CARIBBEAN SHARPNOSE",Rhizoprionodon porosus,NA,Other,NA,NA,NA,Sharks,Other
NA,171342,510,"WOLFFISH,SPOTTED",ANARHICHAS MINOR,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,167914,513,WRECKFISH,POLYPRION AMERICANUS,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,168356,517,"PERCH,TRUE",PERCA FLAVESCENS,NA,Other,NA,NA,NA,SouthernDemersals,Other
NA,650173,518,WALLEYE,SANDER VITREUS,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,161030,526,"FISH,OTHER",OSTEICHTHYES,NA,Other,NA,NA,NA,Freshwater,Other
NA,161030,529,"FISH,OTHER-INDUSTRIAL",OSTEICHTHYES,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,164734,663,"HAKE,LONGFIN",PHYCIS CHESTERI,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,550561,668,"WOLFFISH,NORTHERN",ANARHICHAS DENTICULATUS,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,160976,670,"RAY,EAGLE",MYLIOBATIDAE,NA,Other,NA,NA,NA,Rays,Other
NA,564391,673,"RAY,BULLNOSE",MYLIOBATIS FREMINVILLII,NA,Other,NA,NA,NA,Rays,Other
NA,162523,677,"LANCETFISHES,UNC",ALEPISAURIDAE,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,52016,688,"CORALS,SOFT,NK",ALCYONACEA,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,97775,702,"CRAB,HERMIT",PAGURUS,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,98276,713,"CRAB,UNC",BRACHYURA,NA,Other,NA,NA,NA,Megabenthos,Other
NA,99034,716,"CRAB,JAPANESE SHORE",HEMIGRAPSUS,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,96027,730,"SHRIMP,ROCK",SICYONIA,NA,Other,NA,NA,NA,OtherShrimp,Other
NA,551570,731,"SHRIMP,NORTHERN BROWN",FARFANTEPENAEUS AZTECUS,NA,Other,NA,NA,NA,OtherShrimp,Other
NA,96074,734,"SHRIMP,SCARLET",ARISTAEOPSIS EDWARDSIANA,NA,Other,NA,NA,NA,OtherShrimp,Other
NA,96106,735,"SHRIMP,UNC (CARIDEA)",CARIDEA,NA,Other,NA,NA,NA,OtherShrimp,Other
NA,99143,737,MANTIS SHRIMPS,STOMATOPODA,NA,Other,NA,NA,NA,OtherShrimp,Other
NA,95602,738,"SHRIMP,ATLANTIC & GULF,BROWN",PANAEIDAE,NA,Other,NA,NA,NA,OtherShrimp,Other
NA,97106,739,"SHRIMP,CRANGON",CRANGONIDAE,NA,Other,NA,NA,NA,OtherShrimp,Other
NA,79342,743,"CLAM,BLOOD ARC",ANADARA OVALIS,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,81495,748,"CLAMS,HARD",MERCENARIA ,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,81022,760,"CLAM,RAZOR,ATLANTIC",ENSIS DIRECTUS,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,81272,761,"CLAM,STOUT TAGELUS (BAMBOO)",TAGELUS PLEBEIUS,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,81692,763,"CLAM,SOFT",MYA ARENARIA,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,72623,764,"SNAIL,SLIPPER LIMPET",Crepidula fornicata,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,73726,774,"WHELK,TRUE,UNC",BUCCINIDAE,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,72554,775,SNAILS(CONCHS),STROMBIDAE,NA,Benthos,NA,NA,NA,Macrobenthos,Benthos
NA,74075,778,"WHELK,LIGHTNING",BUSYCON SINISTRUM,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,82590,786,OCTOPUS,OCTOPODIDAE,NA,Other,NA,NA,NA,OtherCephalopods,Other
NA,79872,789,"OYSTER,EASTERN",CRASSOSTREA VIRGINICA,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,79885,792,"OYSTER,EUROPEAN FLAT",OSTREA EDULIS,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,79611,796,"SCALLOP,UNC",PECTINIDAE,NA,Other,NA,NA,NA,AtlScallop,Other
NA,70394,798,"PERIWINKLES,ATLANTIC (COCKLES)",LITTORINIDAE,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,82369,803,"SQUIDS,LOLIGINIDAE",LOLIGINIDAE,NA,Other,NA,NA,NA,OtherCephalopods,Other
NA,69458,804,"MOLLUSKS,UNC",MOLLUSCA,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,157968,805,SEA URCHINS,STRONGYLOCENTROTUS,NA,Benthos,NA,NA,NA,Macrobenthos,Benthos
NA,158140,806,SEA CUCUMBER,HOLOTHUROIDEA,NA,Benthos,NA,NA,NA,Macrobenthos,Benthos
NA,82367,807,SQUIDS,TEUTHIDA,NA,Other,NA,NA,NA,OtherCephalopods,Other
NA,173780,808,TERRAPIN,MALACLEMYS TERRAPIN,NA,Other,NA,NA,NA,Turtles,Other
NA,551770,810,"TURTLE,KEMPS RIDLEY",LEPIDOCHELYS KEMPI,NA,Other,NA,NA,NA,Turtles,Other
NA,173803,811,"TURTLES,SLIDERS",PSEUDEMYS,NA,Other,NA,NA,NA,Turtles,Other
NA,173752,815,"TURTLES,SNAPPING",CHELYDRA SERPENTINA,NA,Other,NA,NA,NA,Turtles,Other
NA,173749,816,"TURTLES,UNC",TESTUDINES,NA,Other,NA,NA,NA,Turtles,Other
NA,10685,817,"SEAWEED,UNC",PHAEOPHYTA,NA,Other,NA,NA,NA,Fauna,Other
NA,173840,818,"TURTLE,OLIVE RIDLEY",LEPIDOCHELYS OLIVACEA,NA,Other,NA,NA,NA,Turtles,Other
NA,11335,819,BLADDER WRACK,FUCUS VESICLOSUS,NA,Other,NA,NA,NA,Fauna,Other
NA,11228,820,FINGERED KELP,LAMINARIA DIGITATA,NA,Other,NA,NA,NA,Fauna,Other
NA,11217,821,OARWEED KELP,LAMINARIA LONGICRURIS,NA,Other,NA,NA,NA,Fauna,Other
NA,11300,822,WINGED KELP,ALARIA ESCULENTA,NA,Other,NA,NA,NA,Fauna,Other
NA,66107,823,BLOODWORMS,GLYCERA DIBRANCHIATA,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,11332,824,WORMWEED,ASCOPHYLLUM NODOSUM SCORPIOIDES,NA,Other,NA,NA,NA,Fauna,Other
NA,65902,825,SANDWORMS,NEREIS,NA,Other,NA,NA,NA,Fauna,Other
NA,6562,826,SEA LETTUCE,ULVA LACTUCA,NA,Other,NA,NA,NA,Fauna,Other
NA,11540,827,NORI/LAVER,PORPHYRA,NA,Other,NA,NA,NA,Fauna,Other
NA,156862,828,STARFISH,ASTEROIDEA,NA,Other,NA,NA,NA,Macrobenthos,Other
NA,12092,829,IRISH MOSS,CHONDRUS CRISPUS,NA,Other,NA,NA,NA,Fauna,Other
NA,12104,830,FALSE IRISH MOSS,GIGARTINA STELLATA,NA,Other,NA,NA,NA,Fauna,Other
NA,12842,831,DULSE,PALMARIA PALMATA,NA,Other,NA,NA,NA,Fauna,Other
NA,11329,832,ROCKWEED,FUCACEAE,NA,Other,NA,NA,NA,Fauna,Other
NA,11222,833,SUGAR KELP,LAMINARIA SACCHARINA,NA,Other,NA,NA,NA,Fauna,Other
NA,83677,834,"CRUSTACEANS,UNC",CRUSTACEA,NA,Other,NA,NA,NA,OtherDemersals,Other
NA,51483,899,"JELLYFISH,UNC",SCYPHOZOA,NA,Other,NA,NA,NA,Macrobenthos,Other
0,NA,NA,UNCLASSIFIED FISH,UNIDENTIFIED FISH,NA,Other,NA,0.175,0.175,NA,Other
1,159772,150,ATLANTIC HAGFISH,MYXINE GLUTINOSA,NA,Other,BO,0.145,0.145,OtherDemersals,Other
2,159722,526,SEA LAMPREY,PETROMYZON MARINUS,NA,Other,NA,0.175,0.175,Freshwater,Other
3,160268,484,DUSKY SHARK,CARCHARHINUS OBSCURUS,NA,Other,PE,0.199,0.199,Sharks,Other
4,160952,NA,ROUGHTAIL STINGRAY,DASYATIS CENTROURA,NA,Other,BE,0.144,0.144,Rays,Other
5,160806,289,RAY AND SKATE UNCL,RAJIFORMES,NA,Other,NA,0.175,0.175,Rays,Other
6,159907,496,BASKING SHARK,CETORHINUS MAXIMUS,NA,Other,NA,0.175,0.175,Sharks,Other
7,160703,339,BLACK DOGFISH,CENTROSCYLLIUM FABRICII,NA,Other,PE,0.199,0.199,Sharks,Other
8,160659,NA,ROUGH SAGRE,ETMOPTERUS PRINCEPS,NA,Other,BE,0.144,0.144,Sharks,Other
9,160289,482,SANDBAR SHARK,CARCHARHINUS PLUMBEUS,NA,Other,PE,0.199,0.199,Sharks,Other
11,NA,NA,SHARK UNCL,SELACHIMORPHA,NA,Apex Predator,NA,0.175,0.175,Sharks,Apex Predator
12,159888,349,SAND TIGER,CARCHARIAS TAURUS,NA,Other,PE,0.199,0.199,Sharks,Other
13,160230,351,SMOOTH DOGFISH,MUSTELUS CANIS,NA,Macrozoo-piscivore,PE,0.199,0.199,SmoothDogfish,Benthivore
14,160060,346,CHAIN DOGFISH,SCYLIORHINUS RETIFER,NA,Benthivore,PE,0.199,0.199,Sharks,Benthivore
15,160617,352,SPINY DOGFISH,SQUALUS ACANTHIAS,JOINT,Piscivore,PE,0.199,0.199,SpinyDogfish,Piscivore
16,160787,477,ATLANTIC ANGEL SHARK,SQUATINA DUMERIL,NA,Other,PE,0.199,0.199,Sharks,Other
17,160424,493,BLUE SHARK,PRIONACE GLAUCA,NA,Other,NA,0.175,0.175,Sharks,Other
18,160954,NA,BLUNTNOSE STINGRAY,DASYATIS SAY,NA,Other,BE,0.144,0.144,Rays,Other
19,160980,NA,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI,NA,Other,BE,0.144,0.144,Rays,Other
20,160846,365,OCELLATE SKATES,RAJA ,NA,Other,NA,0.175,0.175,OtherSkates,Other
21,160834,526,ATLANTIC TORPEDO,TORPEDO NOBILIANA,NA,Other,BE,0.144,0.144,Freshwater,Other
22,564139,368,BARNDOOR SKATE,DIPTURUS LAEVIS,NEFMC,Benthivore,OE,0.144,0.144,Barndoor,Benthivore
23,564145,367,WINTER SKATE,LEUCORAJA OCELLATA,NEFMC,Piscivore,OE,0.144,0.144,WinterSkate,Piscivore
24,160855,372,CLEARNOSE SKATE,RAJA EGLANTERIA,NEFMC,Macrozoo-piscivore,BE,0.144,0.144,OtherSkates,Piscivore
25,564136,364,ROSETTE SKATE,LEUCORAJA GARMANI,NEFMC,Benthivore,BE,0.144,0.144,OtherSkates,Benthivore
26,564130,366,LITTLE SKATE,LEUCORAJA ERINACEA,NEFMC,Macrozoo-piscivore,OE,0.144,0.144,LittleSkate,Piscivore
27,564151,369,SMOOTH SKATE,MALACORAJA SENTA,NEFMC,Macrozoo-piscivore,BE,0.144,0.144,OtherSkates,Piscivore
28,564149,370,THORNY SKATE,AMBLYRAJA RADIATA,NEFMC,Piscivore,OE,0.144,0.144,OtherSkates,Piscivore
29,160951,NA,SOUTHERN STINGRAY,DASYATIS AMERICANA,NA,Other,BE,0.144,0.144,Rays,Other
30,161700,167,HERRING UNCL,CLUPEIDAE,NA,Other,NA,0.175,0.175,OtherPelagics,Other
31,161743,166,ROUND HERRING,ETRUMEUS TERES,NA,Other,NA,0.175,0.175,SmPelagics,Other
32,161722,168,ATLANTIC HERRING,CLUPEA HARENGUS,NEFMC,Mesoplanktivore,NA,0.02,0.02,AtlHerring,Planktivore
33,161706,1,ALEWIFE,ALOSA PSEUDOHARENGUS,NA,Mesoplanktivore,NA,0.37,0.37,RiverHerring,Planktivore
34,161703,112,BLUEBACK HERRING,ALOSA AESTIVALIS,NA,Mesoplanktivore,NA,0.05,0.05,RiverHerring,Planktivore
35,161702,347,AMERICAN SHAD,ALOSA SAPIDISSIMA,NA,Mesoplanktivore,NA,0.05,0.05,AmShad,Planktivore
36,161731,221,MENHADEN,BREVOORTIA,NA,Mesoplanktivore,NA,0.05,0.05,OtherPelagics,Planktivore
37,161704,173,HICKORY SHAD,ALOSA MEDIOCRIS,NA,Other,NA,0.175,0.175,OtherPelagics,Other
38,162035,361,CAPELIN,MALLOTUS VILLOSUS,NA,Other,NA,0.02,0.02,OtherPelagics,Other
39,162303,NA,SLICKHEADS,ALEPOCEPHALIDAE ,NA,Other,NA,0.175,0.175,Mesopelagics,Other
43,161839,6,BAY ANCHOVY,ANCHOA MITCHILLI,NA,Other,NA,0.02,0.02,SmPelagics,Other
44,161838,NA,STRIPED ANCHOVY,ANCHOA HEPSETUS,NA,Other,NA,0.02,0.02,SmPelagics,Other
45,162041,371,RAINBOW SMELT,OSMERUS MORDAX,NA,Other,NA,0.175,0.175,SmallPelagics,Other
46,162064,NA,ATLANTIC ARGENTINE,ARGENTINA SILUS,NA,Other,NA,0.018,0.018,SmPelagics,Other
47,162427,139,GREENEYE UNCL,CHLOROPHTHALMIDAE,NA,Other,NA,0.175,0.175,Mesopelagics,Other
51,162680,NA,GLACIER LANTERNFISH,BENTHOSEMA GLACIALE,NA,Other,NA,0.175,0.175,Mesopelagics,Other
52,162632,NA,MADEIRA LANTERNFISH,LAMPANYCTUS ,NA,Other,NA,0.175,0.175,Mesopelagics,Other
54,162578,NA,HORNED LANTERNFISH,CERATOSCOPELUS MADERENSIS,NA,Other,NA,0.175,0.175,Mesopelagics,Other
55,162723,NA,SPOTTED LANTERNFISH,MYCTOPHUM PUNCTATUM,NA,Other,NA,0.175,0.175,Mesopelagics,Other
56,162575,655,LANTERNFISH UNCL,MYCTOPHIDAE,NA,Other,NA,0.175,0.175,Mesopelagics,Other
57,162701,NA,NA,HYGOPHUM TAANINGI,NA,Other,NA,0.175,0.175,Mesopelagics,Other
58,162654,NA,PATCHWORK LAMPFISH,NOTOSCOPELUS RESPLENDENS,NA,Other,NA,0.175,0.175,Mesopelagics,Other
59,162712,NA,NA,GONICHTHYS COCCOI,NA,Other,NA,0.175,0.175,Mesopelagics,Other
60,161123,117,EEL UNCL,ANGUILLIFORMES,NA,Other,NA,0.175,0.175,OtherDemersals,Other
61,162583,NA,HEADLIGHTFISH UNCL,DIAPHUS ,NA,Other,NA,0.175,0.175,Mesopelagics,Other
63,161326,116,CONGER EEL,CONGER OCEANICUS,NA,Other,NA,0.175,0.175,OtherDemersals,Other
64,161594,NA,SNUBNOSE EEL,SIMENCHELYS PARASITICA ,NA,Other,NA,0.175,0.175,OtherDemersals,Other
65,161473,NA,MARGINED SNAKE EEL,OPHICHTHUS CRUENTIFER,NA,Other,NA,0.175,0.175,OtherDemersals,Other
66,165474,NA,SILVERSTRIPE HALFBEAK,HYPORHAMPHUS UNIFASCIATUS,NA,Other,NA,0.175,0.175,OtherPelagics,Other
67,161624,NA,SLENDER SNIPE EEL,NEMICHTHYS SCOLOPACEUS,NA,Other,NA,0.175,0.175,OtherDemersals,Other
68,165548,NA,FLAT NEEDLEFISH,ABLENNES HIANS,NA,Other,NA,0.175,0.175,OtherPelagics,Other
69,164793,508,OFFSHORE HAKE,MERLUCCIUS ALBIDUS,NEFMC,Piscivore,PG,0.142,0.199,OffHake,Piscivore
70,550669,NA,BEARDLESS CODLING,GADELLA IMBERBIS,NA,Other,NA,0.175,0.175,OtherDemersals,Other
72,164791,509,SILVER HAKE,MERLUCCIUS BILINEARIS,NEFMC,Piscivore,PG,0.142,0.199,SilverHake,Piscivore
73,164712,81,ATLANTIC COD,GADUS MORHUA,NEFMC,Piscivore,PG,0.142,0.199,Cod,Piscivore
73,164712,82,ATLANTIC COD,GADUS MORHUA,NEFMC,Piscivore,PG,0.142,0.199,Cod,Piscivore
74,164744,147,HADDOCK,MELANOGRAMMUS AEGLEFINUS,NEFMC,Benthivore,BG,0.199,0.206,Haddock,Benthivore
74,164744,148,HADDOCK,MELANOGRAMMUS AEGLEFINUS,NEFMC,Benthivore,BG,0.199,0.206,Haddock,Benthivore
75,164727,269,POLLOCK,POLLACHIUS VIRENS,NEFMC,Macrozoo-piscivore,PG,0.142,0.199,Pollock,Piscivore
75,164727,270,POLLOCK,POLLACHIUS VIRENS,NEFMC,Macrozoo-piscivore,PG,0.142,0.199,Pollock,Piscivore
76,164732,153,WHITE HAKE,UROPHYCIS TENUIS,NEFMC,Macroplanktivore,PG,0.142,0.199,WhiteHake,Piscivore
76,164732,154,WHITE HAKE,UROPHYCIS TENUIS,NEFMC,Macroplanktivore,PG,0.142,0.199,WhiteHake,Piscivore
77,164730,152,RED HAKE,UROPHYCIS CHUSS,NEFMC,Macrozoo-piscivore,BG,0.199,0.206,RedHake,Piscivore
78,164731,662,SPOTTED HAKE,UROPHYCIS REGIA,NA,Other,BG,0.199,0.206,OtherDemersals,Other
79,164733,NA,LONGFIN HAKE,UROPHYCIS CHESTERI,NA,Other,PG,0.142,0.199,OtherDemersals,Other
80,164701,NA,HAKE UNCL,GADIDAE,NA,Other,PG,0.142,0.199,OtherDemersals,Other
81,164672,664,BLUE HAKE,ANTIMORA ROSTRATA,NA,Other,BG,0.199,0.206,OtherDemersals,Other
82,550838,NA,METALLIC CODLING,PHYSICULUS FULVUS,NA,Other,NA,0.175,0.175,OtherDemersals,Other
83,164748,526,FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS,NA,Other,BG,0.199,0.206,Freshwater,Other
84,164740,96,CUSK,BROSME BROSME,NA,Macrozoo-piscivore,BG,0.199,0.206,OtherDemersals,Planktivore
85,164769,NA,THREEBEARD ROCKLING,GAIDROPSARUS ENSIS,NA,Other,BG,0.199,0.206,OtherDemersals,Other
86,164790,507,HAKES,MERLUCCIUS ,NA,Other,PG,0.142,0.199,OtherDemersals,Other
87,164729,155,CODLINGS,UROPHYCIS ,NA,Other,NA,0.175,0.175,OtherDemersals,Other
88,164670,NA,MORA UNCL,MORIDAE,NA,Other,NA,0.175,0.175,OtherDemersals,Other
90,165332,138,GRENADIER UNCL,MACROURIDAE,NA,Other,BG,0.199,0.206,Mesopelagics,Other
91,165395,NA,MARLIN-SPIKE,NEZUMIA BAIRDII ,NA,Other,BG,0.199,0.206,Mesopelagics,Other
92,165421,137,ROUGHHEAD GRENADIER,MACROURUS BERGLAX,NA,Other,BG,0.199,0.206,Mesopelagics,Other
93,623199,NA,LONGNOSE GRENADIER,CAELORINCHUS CAELORHINCUS CARMINATUS ,NA,Other,BG,0.199,0.206,Mesopelagics,Other
98,172938,NA,DEEPWATER DAB,POECILOPSETTA BEANI,NA,Other,BP,0.267,0.266,OtherFlatfish,Other
99,172930,158,GREENLAND HALIBUT,REINHARDTIUS HIPPOGLOSSOIDES,NA,Other,PO,0.199,0.199,OtherDemersals,Other
100,172702,126,FLOUNDER UNCL,PLEURONECTIFORMES,NA,Other,SP,0.145,0.145,OtherFlatfish,Other
101,172933,159,ATLANTIC HALIBUT,HIPPOGLOSSUS HIPPOGLOSSUS,NEFMC,Piscivore,PO,0.199,0.199,AtlHalibut,Piscivore
