"","Group","Year","Stdev","Value","Type","Scale"
"1","AmLobster",1985,0.0341392952635802,0.152612707565007,"absolute",1
"2","AmLobster",1986,0.0526352985458313,0.177523020080781,"absolute",1
"3","AmLobster",1987,0.0438629585137794,0.156878354909538,"absolute",1
"4","AmLobster",1988,0.083265921681038,0.267412887981502,"absolute",1
"5","AmLobster",1989,0.161893231449762,0.340742118620032,"absolute",1
"6","AmLobster",1990,0.0358210998563784,0.166701768710812,"absolute",1
"7","AmLobster",1991,0.0403615035445917,0.243646972612848,"absolute",1
"8","AmLobster",1992,0.0527349496550841,0.195399317503622,"absolute",1
"9","AmLobster",1993,0.0313569906714734,0.150322808370796,"absolute",1
"10","AmLobster",1994,0.0366222876464579,0.187499509635675,"absolute",1
"11","AmLobster",1995,0.0474429855600766,0.191907007654577,"absolute",1
"12","AmLobster",1996,0.0549146178041763,0.229427233401927,"absolute",1
"13","AmLobster",1997,0.0447891422008241,0.221305228430496,"absolute",1
"14","AmLobster",1998,0.0645114152238453,0.235649365924615,"absolute",1
"15","AmLobster",1999,0.0586824720711305,0.300969734944662,"absolute",1
"16","AmLobster",2000,0.0520521386425245,0.241941589379826,"absolute",1
"17","AmLobster",2001,0.0607686239531317,0.355141742252858,"absolute",1
"18","AmLobster",2002,0.0882728280492052,0.479990054518401,"absolute",1
"19","AmLobster",2003,0.038177864594735,0.179726599960298,"absolute",1
"20","AmLobster",2004,0.07501878589343,0.307622952759127,"absolute",1
"21","AmLobster",2005,0.047838531571519,0.238128954087006,"absolute",1
"22","AmLobster",2006,0.0624211107237456,0.348081806315278,"absolute",1
"23","AmLobster",2007,0.0681277326329836,0.318836047146125,"absolute",1
"24","AmLobster",2008,0.189281108134409,0.546242428616208,"absolute",1
"25","AmLobster",2009,0.213508208545399,0.646629673607186,"absolute",1
"26","AmLobster",2010,0.0983876482288179,0.407197904142693,"absolute",1
"27","AmLobster",2011,0.174919841039294,0.752835057859958,"absolute",1
"28","AmLobster",2012,0.0777055032203654,0.457597781978149,"absolute",1
"29","AmLobster",2013,0.0794681348216096,0.419719834306362,"absolute",1
"30","AmLobster",2014,0.0724944771141006,0.430303845875687,"absolute",1
"31","AmLobster",2015,0.191231260524437,0.570961492369497,"absolute",1
"32","AmLobster",2016,0.087398375461045,0.462808210349769,"absolute",1
"33","AmLobster",2017,0.168144957014884,0.684590154790127,"absolute",1
"34","AmLobster",2018,0.92500890161019,1.52862130557679,"absolute",1
"35","AmLobster",2019,0.120227196915141,0.575570252290556,"absolute",1
"36","AmPlaice",1985,0.00189449475675148,0.0190223188887711,"absolute",1
"37","AmPlaice",1986,0.00283682138510133,0.0207324462742076,"absolute",1
"38","AmPlaice",1987,0.00318203200727106,0.0316399492134544,"absolute",1
"39","AmPlaice",1988,0.00469893906872952,0.0579747677231606,"absolute",1
"40","AmPlaice",1989,0.0155140471115741,0.161648792569575,"absolute",1
"41","AmPlaice",1990,0.0102228033686042,0.0757015862941627,"absolute",1
"42","AmPlaice",1991,0.000807373574124654,0.00484424144474792,"absolute",1
"43","AmPlaice",1992,0.00373192607929175,0.0281376626639501,"absolute",1
"44","AmPlaice",1993,0.00698036584955981,0.0466953444570821,"absolute",1
"45","AmPlaice",1994,0.0100564650444735,0.069537260663565,"absolute",1
"46","AmPlaice",1995,0.0101551131447417,0.10929804408249,"absolute",1
"47","AmPlaice",1996,0.00655052142440555,0.0578374816873275,"absolute",1
"48","AmPlaice",1997,0.0106684889941845,0.138522333799358,"absolute",1
"49","AmPlaice",1998,0.0137255699843644,0.217071639200409,"absolute",1
"50","AmPlaice",1999,0.012575070180579,0.156359013121498,"absolute",1
"51","AmPlaice",2000,0.0180657711303502,0.198845354072066,"absolute",1
"52","AmPlaice",2001,0.00646918054037793,0.0477752641143636,"absolute",1
"53","AmPlaice",2002,0.00671265652580853,0.0679273814193923,"absolute",1
"54","AmPlaice",2003,0.134328747093598,0.898217953720595,"absolute",1
"55","AmPlaice",2004,0.00517845720103619,0.0522234659725776,"absolute",1
"56","AmPlaice",2005,0.00244794609463541,0.0310951160749946,"absolute",1
"57","AmPlaice",2006,0.0119805378442964,0.12355781061325,"absolute",1
"58","AmPlaice",2007,0.0233080923266677,0.170665295438761,"absolute",1
"59","AmPlaice",2008,0.0125772471502417,0.126254991819036,"absolute",1
"60","AmPlaice",2009,0.0155481943576299,0.151235137429322,"absolute",1
"61","AmPlaice",2010,0.0141409082118467,0.176554707640443,"absolute",1
"62","AmPlaice",2011,0.000387308274015817,0.00522049863905575,"absolute",1
"63","AmPlaice",2012,0.000552938258214599,0.00894424625048078,"absolute",1
"64","AmPlaice",2013,0.000281421630259812,0.00306795797087151,"absolute",1
"65","AmPlaice",2014,0.00051047087858476,0.00621428126346797,"absolute",1
"66","AmPlaice",2015,0.00955687125288154,0.0741274108732809,"absolute",1
"67","AmPlaice",2016,0.00084522601173519,0.00820823913423843,"absolute",1
"68","AmPlaice",2017,8.5704782682357e-05,0.00063451690302604,"absolute",1
"69","AmPlaice",2018,0.000337135444263791,0.00284953552763499,"absolute",1
"70","AmPlaice",2019,0.000494322707097803,0.00427586803942223,"absolute",1
"71","AtlHalibut",1989,0.011697508572161,0.0130060684905423,"absolute",1
"72","AtlHalibut",1990,0.00487373969886953,0.00722069141843901,"absolute",1
"73","AtlHalibut",1997,0.00104563110627718,0.00104563110627718,"absolute",1
"74","AtlHalibut",1998,0.00436741836458156,0.00436741836458156,"absolute",1
"75","AtlHalibut",1999,0.0026908681214307,0.00437263917170457,"absolute",1
"76","AtlHalibut",2001,0.00301677049995139,0.00301677049995139,"absolute",1
"77","AtlHalibut",2002,0.00121673437821345,0.00121673437821345,"absolute",1
"78","AtlHalibut",2004,0.00045386111355945,0.000487941491065944,"absolute",1
"79","AtlHalibut",2005,0.00441836453547941,0.00510719988595923,"absolute",1
"80","AtlHalibut",2006,0.00305719285520709,0.00305719285520709,"absolute",1
"81","AtlHalibut",2009,0.00144011920546357,0.00144011920546357,"absolute",1
"82","AtlHalibut",2010,0.00309381013085654,0.00313066038383146,"absolute",1
"83","AtlHalibut",2011,0.00201521631391602,0.00201521631391602,"absolute",1
