"","Group","Year","Value","Stdev","Scale"
"1","AmLobster",1981,0.00855717590312739,0.000855717590312739,1
"2","AmLobster",1982,0.0100800108048267,0.00100800108048267,1
"3","AmLobster",1983,0.0138800015169871,0.00138800015169871,1
"4","AmLobster",1984,0.0113395367408066,0.00113395367408066,1
"5","AmLobster",1985,0.0138598680466912,0.00138598680466912,1
"6","AmLobster",1986,0.0116604533866567,0.00116604533866567,1
"7","AmLobster",1987,0.0125547649656609,0.00125547649656609,1
"8","AmLobster",1988,0.0129758387921378,0.00129758387921378,1
"9","AmLobster",1989,0.0161010762260092,0.00161010762260092,1
"10","AmLobster",1990,0.0167766567461224,0.00167766567461224,1
"11","AmLobster",1991,0.0178454539169371,0.00178454539169371,1
"12","AmLobster",1992,0.0170218654443138,0.00170218654443138,1
"13","AmLobster",1993,0.0171630901739863,0.00171630901739863,1
"14","AmLobster",1994,0.0108986828555228,0.00108986828555228,1
"15","AmLobster",1995,0.00854350999603188,0.000854350999603188,1
"16","AmLobster",1996,0.0357617840690438,0.00357617840690438,1
"17","AmLobster",1997,0.029090994445415,0.0029090994445415,1
"18","AmLobster",1998,0.0240994614417651,0.00240994614417651,1
"19","AmLobster",1999,0.0198900708196571,0.00198900708196571,1
"20","AmLobster",2000,0.0241793183964928,0.00241793183964928,1
"21","AmLobster",2001,0.0613936989347755,0.00613936989347755,1
"22","AmLobster",2002,0.0665064928144017,0.00665064928144017,1
"23","AmLobster",2003,0.0631670323222148,0.00631670323222148,1
"24","AmLobster",2004,0.0975156985404212,0.00975156985404212,1
"25","AmLobster",2005,0.159106098912177,0.0159106098912177,1
"26","AmLobster",2006,0.0393194651450072,0.00393194651450072,1
"27","AmLobster",2007,0.0740049777547334,0.00740049777547334,1
"28","AmLobster",2008,0.0496383244424211,0.00496383244424211,1
"29","AmLobster",2009,0.0503798219933476,0.00503798219933476,1
"30","AmLobster",2010,0.039753738730136,0.0039753738730136,1
"31","AmLobster",2011,0.0511535983231748,0.00511535983231748,1
"32","AmLobster",2012,0.0475674918866277,0.00475674918866277,1
"33","AmLobster",2013,0.0401235065649284,0.00401235065649284,1
"34","AmLobster",2014,0.0394148944530588,0.00394148944530588,1
"35","AmLobster",2015,0.04028868877746,0.004028868877746,1
"36","AmLobster",2016,0.0461338480499649,0.00461338480499649,1
"37","AmLobster",2017,0.0492951552827483,0.00492951552827483,1
"38","AmLobster",2018,0.0501982898749971,0.00501982898749971,1
"39","AmLobster",2019,0.050000387224859,0.0050000387224859,1
"40","AmLobster",2020,0.0353058586954383,0.00353058586954383,1
"41","AmLobster",2021,0.0343453987326302,0.00343453987326302,1
"42","AmLobster",2022,0.0277939656613055,0.00277939656613055,1
"43","AmPlaice",1981,0.0117388448917746,0.00117388448917746,1
"44","AmPlaice",1982,0.0188203318730683,0.00188203318730683,1
"45","AmPlaice",1983,0.0201699726547201,0.00201699726547201,1
"46","AmPlaice",1984,0.0149855625980685,0.00149855625980685,1
"47","AmPlaice",1985,0.0159685309474788,0.00159685309474788,1
"48","AmPlaice",1986,0.0083874425570455,0.00083874425570455,1
"49","AmPlaice",1987,0.00809519081126523,0.000809519081126523,1
"50","AmPlaice",1988,0.00928818452281539,0.000928818452281539,1
"51","AmPlaice",1989,0.00582990019873274,0.000582990019873274,1
"52","AmPlaice",1990,0.005114171525288,0.0005114171525288,1
"53","AmPlaice",1991,0.0102391301925328,0.00102391301925328,1
"54","AmPlaice",1992,0.017948825920797,0.0017948825920797,1
"55","AmPlaice",1993,0.0164907589544075,0.00164907589544075,1
"56","AmPlaice",1994,0.00953393282402404,0.000953393282402404,1
"57","AmPlaice",1995,0.00921574776603764,0.000921574776603764,1
"58","AmPlaice",1996,0.00804699261154341,0.000804699261154341,1
"59","AmPlaice",1997,0.0112005375976665,0.00112005375976665,1
"60","AmPlaice",1998,0.00862312131882469,0.000862312131882469,1
"61","AmPlaice",1999,0.0108686758418806,0.00108686758418806,1
"62","AmPlaice",2000,0.0121551886733623,0.00121551886733623,1
"63","AmPlaice",2001,0.0115376979936003,0.00115376979936003,1
"64","AmPlaice",2002,0.0106215728423887,0.00106215728423887,1
"65","AmPlaice",2003,0.00714263964171511,0.000714263964171511,1
"66","AmPlaice",2004,0.0057489780129954,0.00057489780129954,1
"67","AmPlaice",2005,0.00489973934965595,0.000489973934965595,1
"68","AmPlaice",2006,0.00377919153188358,0.000377919153188358,1
"69","AmPlaice",2007,0.00290552897222861,0.000290552897222861,1
"70","AmPlaice",2008,0.00259883080533379,0.000259883080533379,1
"71","AmPlaice",2009,0.00378519755682177,0.000378519755682177,1
"72","AmPlaice",2010,0.00324033732190846,0.000324033732190846,1
"73","AmPlaice",2011,0.00374446452259544,0.000374446452259544,1
"74","AmPlaice",2012,0.00421839057406296,0.000421839057406296,1
"75","AmPlaice",2013,0.00246329903153335,0.000246329903153335,1
"76","AmPlaice",2014,0.00251570503758558,0.000251570503758558,1
"77","AmPlaice",2015,0.00215884561922327,0.000215884561922327,1
"78","AmPlaice",2016,0.00148100518477336,0.000148100518477336,1
"79","AmPlaice",2017,0.00143108247324574,0.000143108247324574,1
"80","AmPlaice",2018,0.000891708697102494,8.91708697102494e-05,1
"81","AmPlaice",2019,0.000922240189093996,9.22240189093996e-05,1
"82","AmPlaice",2020,0.00138715273320652,0.000138715273320652,1
